	<yagoTheme__infoboxPatterns>	<hasGloss>	"This file is part of the ontology YAGO3. It is licensed under a Creative-Commons Attribution License by the YAGO team at the Max Planck Institute for Informatics/Germany. See http://yago-knowledge.org for all details. This file was generated on 2017-10-11 T 19:57:40.0208. The Wikipedia infobox patterns used in YAGO INTERNAL"	
	<infobox/en/academyawards>	<_infoboxPattern>	<hasWonPrize>	
	<infobox/en/afiawards>	<_infoboxPattern>	<hasWonPrize>	
	<infobox/en/artist>	<_infoboxPattern>	<created->	
	<infobox/en/baftaawards>	<_infoboxPattern>	<hasWonPrize>	
	<infobox/en/commander>	<_infoboxPattern>	<isLeaderOf->	
	<infobox/en/commanderinchief>	<_infoboxPattern>	<isLeaderOf->	
	<infobox/en/famousworks>	<_infoboxPattern>	<created>	
	<infobox/en/founded>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infobox/en/goldenglobeawards>	<_infoboxPattern>	<hasWonPrize>	
	<infobox/en/homepage>	<_infoboxPattern>	<hasWebsite>	
	<infobox/en/instrument>	<_infoboxPattern>	<hasMusicalRole>	
	<infobox/en/magnumopus>	<_infoboxPattern>	<created>	
	<infobox/en/placeofbirth>	<_infoboxPattern>	<wasBornIn>	
	<infobox/en/placeofdeath>	<_infoboxPattern>	<diedIn>	
	<infobox/en/prizes>	<_infoboxPattern>	<hasWonPrize>	
	<infobox/en/residence>	<_infoboxPattern>	<livesIn>	
	<infobox/en/url>	<_infoboxPattern>	<hasWebsite>	
	<infobox/en/cityofbirth>	<_infoboxPattern>	<wasBornIn>	
	<infoBoxId14>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/countryofbirth>	<_infoboxPattern>	<wasBornIn>	
	<infoBoxId15>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/team>	<_infoboxPattern>	<isAffiliatedTo>	
	<infoBoxId16>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/clubs>	<_infoboxPattern>	<isAffiliatedTo>	
	<infoBoxId17>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/youthclubs>	<_infoboxPattern>	<isAffiliatedTo>	
	<infoBoxId18>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/nationalteam>	<_infoboxPattern>	<isAffiliatedTo>	
	<infoBoxId19>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/currentclub>	<_infoboxPattern>	<isAffiliatedTo>	
	<infoBoxId20>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/director>	<_infoboxPattern>	<directed->	
	<infobox/en/writer>	<_infoboxPattern>	<created->	
	<infobox/en/composer>	<_infoboxPattern>	<created->	
	<infobox/en/starring>	<_infoboxPattern>	<actedIn->	
	<infobox/en/published>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infobox/en/author>	<_infoboxPattern>	<created->	
	<infobox/en/released>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infobox/en/releasedate>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infobox/en/runtime>	<_infoboxPattern>	<hasDuration>	
	<infobox/en/duration>	<_infoboxPattern>	<hasDuration>	
	<infobox/en/budget>	<_infoboxPattern>	<hasBudget>	
	<infobox/en/datecreated>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infobox/en/isbn>	<_infoboxPattern>	<hasISBN>	
	<infobox/en/creator>	<_infoboxPattern>	<created->	
	<infobox/en/designer>	<_infoboxPattern>	<created->	
	<infobox/en/developer>	<_infoboxPattern>	<created->	
	<infobox/en/imdbid>	<_infoboxPattern>	<hasImdb>	
	<infobox/en/imdb>	<_infoboxPattern>	<hasImdb>	
	<infobox/en/revenue>	<_infoboxPattern>	<hasRevenue>	
	<infobox/en/slogan>	<_infoboxPattern>	<hasMotto>	
	<infobox/en/recorded>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infoBoxId21>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/editing>	<_infoboxPattern>	<edited->	
	<infoBoxId22>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/music>	<_infoboxPattern>	<wroteMusicFor->	
	<infoBoxId23>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/founder>	<_infoboxPattern>	<created->	
	<infobox/en/region>	<_infoboxPattern>	<isLocatedIn>	
	<infoBoxId24>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/country>	<_infoboxPattern>	<isLocatedIn>	
	<infoBoxId25>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/city>	<_infoboxPattern>	<isLocatedIn>	
	<infoBoxId26>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/state>	<_infoboxPattern>	<isLocatedIn>	
	<infoBoxId27>	rdfs:comment	"Added by Fabian 2011-05-26"	
	<infobox/en/foundation>	<_infoboxPattern>	<wasCreatedOnDate>	
	<infobox/en/headquarters>	<_infoboxPattern>	<isLocatedIn>	
	<infobox/en/numemployees>	<_infoboxPattern>	<hasNumberOfPeople>	
	<infobox/en/owner>	<_infoboxPattern>	<owns->	
	<infoBoxId28>	rdfs:comment	"Added by Fabian 2011-05-29"	
	<infobox/en/combatant>	<_infoboxPattern>	<participatedIn->	
	<infobox/en/place>	<_infoboxPattern>	<happenedIn>	
	<infobox/en/dat>	<_infoboxPattern>	<happenedOnDate>	
	<infobox/en/year>	<_infoboxPattern>	<happenedOnDate>	
	<infobox/en/IATA>	<_infoboxPattern>	<hasAirportCode>	
	<infobox/en/successor>	<_infoboxPattern>	owl:Nothing	
	<infobox/en/succesor>	<_infoboxPattern>	owl:Nothing	
	<infobox/en/coregency>	<_infoboxPattern>	owl:Nothing	
# end of file _infoboxPatterns
